client_id,client_name,client_score,income_bracket,employment_status,state,registration_date
C424,Alessia Myers,689,Low,Part-Time,Michigan,2028-11-25
C425,Kylo Ford,665,Low,Unemployed,North Carolina,2028-12-01
C426,Zara Sanders,887,High,Employed,California,2028-12-05
C427,Dante Bryant,743,Medium,Self-Employed,Texas,2028-12-10
C428,Noa Alexander,683,Low,Part-Time,New York,2028-12-15
C429,Apollo Griffin,930,High,Employed,Florida,2028-12-20
C430,Oakley Wallace,724,Medium,Employed,Illinois,2028-12-25
C431,Rhett Hayes,795,High,Employed,Pennsylvania,2029-01-01
C432,Annie James,757,Medium,Self-Employed,Ohio,2029-01-05
C433,Callum West,727,Medium,Employed,Georgia,2029-01-10
C434,Monroe Cruz,691,Low,Part-Time,Michigan,2029-01-15
C435,Briar Fisher,667,Low,Unemployed,North Carolina,2029-01-20
C436,Lillian Price,891,High,Employed,California,2029-01-25
C437,Kenzo Bennett,745,Medium,Self-Employed,Texas,2029-02-01
C438,Gwendolyn Hughes,685,Low,Part-Time,New York,2029-02-05
C439,Jules Patterson,934,High,Employed,Florida,2029-02-10
C440,Mariana Long,726,Medium,Employed,Illinois,2029-02-15
C441,Alaric Flores,797,High,Employed,Pennsylvania,2029-02-20
C442,Regina Washington,759,Medium,Self-Employed,Ohio,2029-02-25
C443,Bowie Brooks,729,Medium,Employed,Georgia,2029-03-01
C444,Queen Coleman,693,Low,Part-Time,Michigan,2029-03-05
C445,Crew Bell,669,Low,Unemployed,North Carolina,2029-03-10
C446,Henley Richardson,895,High,Employed,California,2029-03-15
C447,Kace Cox,747,Medium,Self-Employed,Texas,2029-03-20
C448,Ruthie Howard,687,Low,Part-Time,New York,2029-03-25
C449,Wilder Ward,938,High,Employed,Florida,2029-04-01
C450,Bristol Torres,728,Medium,Employed,Illinois,2029-04-05
C451,Lachlan Russell,799,High,Employed,Pennsylvania,2029-04-10
C452,Sabrina Diaz,761,Medium,Self-Employed,Ohio,2029-04-15
C453,Donovan Evans,731,Medium,Employed,Georgia,2029-04-20
C454,Lorelei Myers,695,Low,Part-Time,Michigan,2029-04-25
C455,Jett Ford,671,Low,Unemployed,North Carolina,2029-05-01
C456,Zuri Sanders,899,High,Employed,California,2029-05-05
C457,Clark Bryant,749,Medium,Self-Employed,Texas,2029-05-10
C458,Lyra Alexander,689,Low,Part-Time,New York,2029-05-15
C459,Orion Griffin,942,High,Employed,Florida,2029-05-20
C460,Emmie Wallace,730,Medium,Employed,Illinois,2029-05-25
C461,Samson Hayes,801,High,Employed,Pennsylvania,2029-06-01
C462,Josie James,763,Medium,Self-Employed,Ohio,2029-06-05
C463,Ridge West,733,Medium,Employed,Georgia,2029-06-10
C464,Marlee Cruz,697,Low,Part-Time,Michigan,2029-06-15
C465,Zayden Fisher,673,Low,Unemployed,North Carolina,2029-06-20
C466,Aniyah Price,903,High,Employed,California,2029-06-25
C467,Alejandro Bennett,751,Medium,Self-Employed,Texas,2029-07-01
C468,Alora Hughes,691,Low,Part-Time,New York,2029-07-05
C469,Royal Patterson,946,High,Employed,Florida,2029-07-10
C470,Rosalie Long,732,Medium,Employed,Illinois,2029-07-15
C471,Ulises Flores,803,High,Employed,Pennsylvania,2029-07-20
C472,Bonnie Washington,765,Medium,Self-Employed,Ohio,2029-07-25
C473,Colter Brooks,735,Medium,Employed,Georgia,2029-08-01
C474,Alma Coleman,699,Low,Part-Time,Michigan,2029-08-05
C475,Stanley Bell,675,Low,Unemployed,North Carolina,2029-08-10
C476,Bridget Richardson,907,High,Employed,California,2029-08-15
C477,Magnus Cox,753,Medium,Self-Employed,Texas,2029-08-20
C478,Oaklyn Howard,693,Low,Part-Time,New York,2029-08-25
C479,Hezekiah Ward,950,High,Employed,Florida,2029-09-01
C480,Azalea Torres,734,Medium,Employed,Illinois,2029-09-05
C481,Gordon Russell,805,High,Employed,Pennsylvania,2029-09-10
C482,Kara Diaz,767,Medium,Self-Employed,Ohio,2029-09-15
C483,Landry Evans,737,Medium,Employed,Georgia,2029-09-20
C484,Raven Myers,701,Low,Part-Time,Michigan,2029-09-25
C485,Duke Ford,677,Low,Unemployed,North Carolina,2029-10-01
C486,Laney Sanders,911,High,Employed,California,2029-10-05
C487,Johan Bryant,755,Medium,Self-Employed,Texas,2029-10-10
C488,Thalia Alexander,695,Low,Part-Time,New York,2029-10-15
C489,Yousef Griffin,954,High,Employed,Florida,2029-10-20
C490,Clementine Wallace,736,Medium,Employed,Illinois,2029-10-25
C491,Neil Hayes,807,High,Employed,Pennsylvania,2029-11-01
C492,Kylie James,769,Medium,Self-Employed,Ohio,2029-11-05
C493,Reed West,739,Medium,Employed,Georgia,2029-11-10
C494,Sarai Cruz,703,Low,Part-Time,Michigan,2029-11-15
C495,Callan Fisher,679,Low,Unemployed,North Carolina,2029-11-20
C496,Nola Price,915,High,Employed,California,2029-11-25
C497,Boden Bennett,757,Medium,Self-Employed,Texas,2029-12-01
C498,Esther Hughes,697,Low,Part-Time,New York,2029-12-05
C499,Khari Patterson,958,High,Employed,Florida,2029-12-10
C500,Joy Long,738,Medium,Employed,Illinois,2029-12-15
